Timestamp,TrackingID,HeadX,HeadY,HeadZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,HandLeftX,HandLeftY,HandLeftZ,HandRightX,HandRightY,HandRightZ,SpineX,SpineY,SpineZ,HipCenterX,HipCenterY,HipCenterZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,KneeLeftX,KneeLeftY,KneeLeftZ,KneeRightX,KneeRightY,KneeRightZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootLeftX,FootLeftY,FootLeftZ,FootRightX,FootRightY,FootRightZ
7/23/2024 4:40:16 PM,2,0.0593452,0.1685486,2.394344,0.05972331,0.21618,2.466786,0.05142055,0.5791653,2.558922,0.04682006,0.7893964,2.534659,-0.1140128,0.4406889,2.520613,-0.239764,0.2791426,2.515209,-0.2561459,0.1170717,2.36343,-0.2350258,0.05347854,2.29549,0.215715,0.4533146,2.514401,0.3519264,0.2784907,2.485424,0.3105028,0.1056203,2.301497,0.2844266,0.04402925,2.245513,-0.01352549,0.09741148,2.358515,-0.04358092,-0.3498018,2.262701,-0.07453155,-0.6669358,2.150246,-0.1004609,-0.720726,2.041454,0.134852,0.103093,2.370735,0.1683873,-0.347482,2.24678,0.1989901,-0.6611624,2.137083,0.2137557,-0.7128699,2.021465,
7/23/2024 4:40:16 PM,2,0.05933399,0.1685585,2.394462,0.05954934,0.2161548,2.466904,0.05123704,0.5789698,2.55912,0.04693904,0.7866802,2.535599,-0.1141464,0.4406499,2.520805,-0.2397838,0.2791364,2.514988,-0.2559707,0.1170224,2.363068,-0.2354092,0.05454108,2.295508,0.2170785,0.4525709,2.515302,0.3519788,0.2786244,2.485527,0.318221,0.1309001,2.324942,0.292276,0.06389797,2.26388,-0.01364511,0.09738284,2.358582,-0.04179234,-0.3525427,2.263299,-0.0743914,-0.6669215,2.150324,-0.09997632,-0.7207439,2.041441,0.1349623,0.1029762,2.370821,0.1683627,-0.3480923,2.247245,0.199391,-0.6595032,2.13785,0.2137046,-0.7127318,2.021569,
7/23/2024 4:40:16 PM,2,0.05933787,0.1686493,2.394387,0.05955702,0.2162165,2.466829,0.05113874,0.5789315,2.558951,0.04699805,0.7861436,2.535736,-0.1141672,0.4406615,2.520774,-0.2398393,0.2786509,2.514864,-0.2557433,0.1167873,2.361424,-0.2351851,0.05401164,2.294489,0.2173783,0.4526243,2.515167,0.3517718,0.2780815,2.485038,0.3156403,0.1245296,2.318841,0.2899801,0.05748759,2.25809,-0.01369288,0.09743312,2.358352,-0.04173587,-0.3519473,2.262632,-0.07395446,-0.6667643,2.150808,-0.09984738,-0.7208133,2.04129,0.1350375,0.1030067,2.370809,0.1683407,-0.3484188,2.247406,0.2002841,-0.6431179,2.146295,0.2135632,-0.7115582,2.023504,
7/23/2024 4:40:16 PM,2,0.05938123,0.1667855,2.394071,0.05949198,0.2148536,2.466685,0.05075557,0.5788319,2.559165,0.04725201,0.7849597,2.53689,-0.1142919,0.4405638,2.521307,-0.2400094,0.278827,2.514919,-0.2559899,0.1168665,2.360954,-0.2355254,0.05428041,2.294582,0.2173929,0.4526128,2.515536,0.3514612,0.2780398,2.48434,0.3151738,0.121691,2.318086,0.2896015,0.05532458,2.257402,-0.01364601,0.09528342,2.358141,-0.04152166,-0.352529,2.263213,-0.07335152,-0.6668759,2.151198,-0.09972525,-0.7208697,2.041245,0.1354155,0.1008195,2.370229,0.1682462,-0.3486762,2.247889,0.1998366,-0.6418778,2.146901,0.2138769,-0.71061,2.026474,
7/23/2024 4:40:16 PM,2,0.05915045,0.1672552,2.394104,0.05945864,0.2151814,2.466652,0.05064899,0.5788857,2.558928,0.04752622,0.7856408,2.536433,-0.1158236,0.4410373,2.522334,-0.2402376,0.2785757,2.514814,-0.2551839,0.1107168,2.351044,-0.233485,0.04676736,2.285988,0.2171715,0.4523144,2.51515,0.3516003,0.2780613,2.484221,0.3143534,0.1185037,2.316408,0.2885627,0.05248204,2.25502,-0.01411122,0.09588796,2.358342,-0.04121149,-0.3533363,2.262891,-0.07296517,-0.6644719,2.151549,-0.09951514,-0.7207835,2.041249,0.1353702,0.1009164,2.370103,0.1682673,-0.3492002,2.247805,0.2000624,-0.6420636,2.146541,0.2138733,-0.7105063,2.026933,
7/23/2024 4:40:16 PM,2,0.05947999,0.1664954,2.394092,0.05966635,0.214777,2.466771,0.05075184,0.5793673,2.559258,0.04747143,0.7858561,2.532778,-0.1163087,0.4409333,2.522537,-0.24072,0.2782157,2.514891,-0.2546177,0.1070044,2.347208,-0.2321343,0.04206002,2.282779,0.2176536,0.4522387,2.515446,0.3514017,0.2779033,2.484258,0.3138517,0.1172396,2.314484,0.2878222,0.0507749,2.253008,-0.01404961,0.09444265,2.357924,-0.04115727,-0.3536898,2.263294,-0.07289194,-0.6651962,2.150432,-0.09937891,-0.7208791,2.04115,0.1363418,0.09939712,2.370015,0.1684017,-0.3500048,2.248055,0.2001772,-0.64201,2.146645,0.2139668,-0.7106268,2.026969,
7/23/2024 4:40:16 PM,2,0.05943331,0.1656765,2.393929,0.05969104,0.2140935,2.466659,0.05073905,0.5793204,2.5593,0.04877976,0.7866352,2.532607,-0.1168762,0.4403715,2.522614,-0.2409169,0.2774337,2.514696,-0.2534171,0.1048452,2.344875,-0.2293243,0.03430786,2.2755,0.2176765,0.4523352,2.515403,0.3513696,0.2765285,2.483604,0.3118528,0.1106116,2.30571,0.2853975,0.04441804,2.246958,-0.01431905,0.09305849,2.357909,-0.0410366,-0.3537843,2.263271,-0.07279322,-0.6658423,2.150532,-0.09935429,-0.7208484,2.040641,0.1364055,0.098662,2.369632,0.1684125,-0.3499887,2.248229,0.2005932,-0.6462404,2.144734,0.2142714,-0.7109277,2.027314,
7/23/2024 4:40:16 PM,2,0.05924753,0.1636945,2.392766,0.05968289,0.2125737,2.46572,0.05071297,0.5793805,2.559082,0.04909771,0.7872148,2.532172,-0.1162315,0.4413253,2.52284,-0.2406147,0.2782733,2.515662,-0.25328,0.1050603,2.344649,-0.2282095,0.03190787,2.271256,0.2176115,0.4521624,2.51431,0.3494231,0.2765954,2.480953,0.311708,0.1104533,2.30538,0.2854613,0.04438376,2.246988,-0.01431993,0.0921294,2.357262,-0.04098953,-0.3537405,2.263431,-0.07276043,-0.6658191,2.150668,-0.09908725,-0.7209059,2.040711,0.1359014,0.09657448,2.368627,0.1681033,-0.3506612,2.248379,0.2006156,-0.6465049,2.144574,0.2142046,-0.7109608,2.027311,
7/23/2024 4:40:16 PM,2,0.05915157,0.1636014,2.3928,0.05962421,0.2125253,2.465805,0.05090268,0.5796958,2.559077,0.04908685,0.7879133,2.531801,-0.1165426,0.440755,2.522407,-0.2408195,0.2777043,2.515368,-0.2530441,0.1050523,2.344249,-0.2274325,0.02953998,2.269115,0.2177735,0.4522316,2.514261,0.3496819,0.2767061,2.48113,0.3117481,0.1105022,2.305203,0.2855485,0.04442696,2.246973,-0.01475347,0.0916356,2.357169,-0.04082192,-0.3538696,2.263357,-0.07238698,-0.6658187,2.150763,-0.09847403,-0.7207106,2.041482,0.1358383,0.09651863,2.368668,0.1680973,-0.3504786,2.248524,0.2005251,-0.6463951,2.14468,0.2140472,-0.7109318,2.027263,
7/23/2024 4:40:16 PM,2,0.05921525,0.1638669,2.392895,0.05968087,0.2126361,2.465882,0.05066318,0.5795382,2.558772,0.04888374,0.7883597,2.531924,-0.1167112,0.4407921,2.5225,-0.2406285,0.2781615,2.515256,-0.2532014,0.1057441,2.344547,-0.2271111,0.02842864,2.268085,0.2183029,0.4532536,2.514468,0.3496591,0.2767119,2.481095,0.3117958,0.1105021,2.305228,0.2856356,0.04418118,2.246482,-0.01468838,0.09205264,2.357196,-0.04091514,-0.3536686,2.263508,-0.07206109,-0.665642,2.15126,-0.09845178,-0.7205529,2.041521,0.1359432,0.09651357,2.368735,0.1681046,-0.3504212,2.248523,0.200459,-0.6455297,2.145183,0.214038,-0.7108407,2.027196,
7/23/2024 4:40:16 PM,2,0.05918529,0.1643575,2.392793,0.05961018,0.2130586,2.465784,0.05065239,0.5799898,2.558509,0.04854154,0.789302,2.531934,-0.1166622,0.4412117,2.5222,-0.2408287,0.2781468,2.514925,-0.2534934,0.1080759,2.347032,-0.2274472,0.02994294,2.268702,0.2184143,0.4533173,2.514361,0.3494208,0.2764061,2.48017,0.3112571,0.109997,2.303946,0.2854988,0.0444313,2.245926,-0.0149276,0.09318954,2.357192,-0.04071116,-0.3536202,2.263207,-0.07210693,-0.6662601,2.150957,-0.09835126,-0.7205281,2.041446,0.1359849,0.09659703,2.368594,0.1680994,-0.3503993,2.248315,0.2006725,-0.6454787,2.144668,0.2140096,-0.7108597,2.026896,
7/23/2024 4:40:16 PM,2,0.05938523,0.1639945,2.392377,0.05970144,0.2126956,2.465402,0.05062102,0.5799069,2.55826,0.04811633,0.7892724,2.531154,-0.1159627,0.4407535,2.52063,-0.2408624,0.2782568,2.515,-0.2542571,0.1102787,2.348799,-0.2279328,0.03119437,2.269593,0.2179207,0.4526991,2.51325,0.3492597,0.2763315,2.479854,0.3100171,0.1078426,2.302073,0.2859095,0.04607332,2.245587,-0.01447373,0.0932459,2.356804,-0.04059374,-0.3537163,2.263176,-0.07174245,-0.6662503,2.151206,-0.09861651,-0.7201574,2.040292,0.1360241,0.09610924,2.368252,0.1681475,-0.350568,2.248328,0.2012235,-0.6505092,2.141847,0.2139395,-0.7113864,2.026588,
